appair,category,interface,position,group
hotellio::holidaybooking,Travel,Leak,1,d
scanit::barcoda,utilities,DCI,2,d
financia::moneycloud,Finance,PDCI,3,d
notely::notepadder,note-taking,Control,4,d
bodydiary::quantifit,Health,Purpose,5,d
qrchecker::barcodeqr,utilities,Leak,6,d
moneywise::walletwach,Finance,DCI,7,d
listmaker::todolist,note-taking,PDCI,8,d
bmitracker::fitnessdiary,Health,Control,9,d
trippy::travelco,Travel,Purpose,10,d
budgetpal::spendtracker,Finance,Leak,11,d
scriber::minit,note-taking,DCI,12,d
weightcount::healthio,Health,PDCI,13,d
travelsave::suntime,Travel,Control,14,d
scanline::codescan,utilities,Purpose,15,d
listy::scribbler,note-taking,Leak,16,d
mybmi::happyheart,Health,DCI,17,d
travellio::voyagee,Travel,PDCI,18,d
qright::detectcode,utilities,Control,19,d
spendwise::prudenz,Finance,Purpose,20,d
healthpal::healthdiary,Health,Leak,21,d
tourhelp::holidayfinder,Travel,DCI,22,d
QRfinder::QRpal,utilities,PDCI,23,d
myfinances::moneymanager,Finance,Control,24,d
postit::yonote,note-taking,Purpose,25,d
